# x	y	u	v	flags	mask
1.3013e+01	1.4608e+00	-2.3197e-01	-1.2840e-02	1.0000e+00	0.0000e+00
1.3220e+01	1.4608e+00	-7.8725e-01	-7.4983e-02	1.0000e+00	0.0000e+00
1.3427e+01	1.4608e+00	-3.0430e-01	-4.6579e+00	0.0000e+00	0.0000e+00
1.3634e+01	1.4608e+00	1.0111e-01	3.4869e+00	0.0000e+00	0.0000e+00
1.3842e+01	1.4608e+00	-1.2851e+00	-1.0614e+00	1.0000e+00	0.0000e+00
1.4049e+01	1.4608e+00	-1.1484e+00	-1.2676e+00	1.0000e+00	0.0000e+00
1.4256e+01	1.4608e+00	-4.8042e+00	-2.0717e+00	0.0000e+00	0.0000e+00
1.6577e-01	1.2536e+00	1.8115e-01	2.7565e+00	1.0000e+00	0.0000e+00
3.7298e-01	1.2536e+00	3.7381e-01	2.7217e+00	1.0000e+00	0.0000e+00
5.8019e-01	1.2536e+00	-1.5574e+00	4.8552e+00	0.0000e+00	0.0000e+00
7.8740e-01	1.2536e+00	3.7822e+00	-1.6408e+00	0.0000e+00	0.0000e+00
9.9461e-01	1.2536e+00	7.8873e-01	1.5250e+00	1.0000e+00	0.0000e+00
1.2018e+00	1.2536e+00	8.3082e-01	8.7361e-01	1.0000e+00	0.0000e+00
1.4090e+00	1.2536e+00	4.5427e-01	2.4764e-01	1.0000e+00	0.0000e+00
1.6162e+00	1.2536e+00	5.2712e-01	-1.9996e-01	1.0000e+00	0.0000e+00
1.8235e+00	1.2536e+00	5.1254e-01	-8.6707e-01	1.0000e+00	0.0000e+00
2.0307e+00	1.2536e+00	3.2510e-01	-1.1243e+00	1.0000e+00	0.0000e+00
2.2379e+00	1.2536e+00	4.3781e-01	-1.2429e+00	1.0000e+00	0.0000e+00
2.4451e+00	1.2536e+00	1.9165e+00	3.0503e-01	0.0000e+00	0.0000e+00
2.6523e+00	1.2536e+00	1.1301e-01	-9.9656e-01	1.0000e+00	0.0000e+00
2.8595e+00	1.2536e+00	3.2445e+00	-6.0715e+00	0.0000e+00	0.0000e+00
3.0667e+00	1.2536e+00	-5.9014e+00	3.6736e-01	0.0000e+00	0.0000e+00
